link,Subject,id,author
036499.html,[Rd] heatmap.2 in gplots (PR#8587),36499,Uwe Ligges
036591.html,[Rd] profiling C code,36591,Thomas Lumley
036615.html,[Rd] Spurious output white line in R script (PR#8631),36615,Thomas Lumley
036621.html,[Rd] Spurious output white line in R script (PR#8631),36621,Thomas Lumley
036452.html,[Rd] Using .onUnload() to unload compiled code,36452,James MacDonald
036372.html,"[Rd] SaveImage, LazyLoad,	S4 and all that {was &quot;install.R ... files&quot;}",36372,Martin Maechler
036424.html,[Rd] match gets confused by S4 objects,36424,Martin Maechler
036427.html,[Rd] match gets confused by S4 objects,36427,Martin Maechler
036489.html,[Rd] invalid graphics state using dev.print (fwd),36489,Martin Maechler
036475.html,[Rd] Citation of R packages,36475,John Maindonald
036491.html,[Rd] Citation of R packages,36491,John Maindonald
036431.html,[Rd] NAMESPACE Q: does import as exist?,36431,Mark.Bravington at csiro.au
036407.html,[Rd] e1071: using svm with sparse matrices (PR#8527),36407,David Meyer
036514.html,[Rd] S4 classes and methods with optional arguments,36514,Martin Morgan
036340.html,[Rd] [R] Help! What does this R command mean?,36340,Duncan Murdoch
036390.html,[Rd] Rprintf loop status does not print under windows,36390,Duncan Murdoch
036430.html,[Rd] NAMESPACE Q: does import as exist?,36430,Duncan Murdoch
036445.html,[Rd] NAMESPACE Q: does import as exist?,36445,Duncan Murdoch
036446.html,[Rd] NAMESPACE Q: does import as exist?,36446,Duncan Murdoch
036451.html,[Rd] NAMESPACE Q: does import as exist?,36451,Duncan Murdoch
036469.html,"[Rd] R, Rcmdr crash on WinXP PRO laptop (PR#8583)",36469,Duncan Murdoch
036507.html,[Rd] Typo in polygon.Rd (PR#8605),36507,Duncan Murdoch
036529.html,[Rd] Rf_errorcall - translate to Pascal,36529,Duncan Murdoch
036542.html,[Rd] Floating point control (was: [R] Variance for Vector of Constants is STILL Not Zero),36542,Duncan Murdoch
036557.html,"[Rd] Computing means, variances and sums",36557,Duncan Murdoch
036563.html,[Rd] Matrix / SparseM conflict (PR#8618),36563,Duncan Murdoch
036600.html,"[Rd] Computing means, variances and sums",36600,Duncan Murdoch
036622.html,[Rd] Links to non-vignette documentation,36622,Duncan Murdoch
036627.html,[Rd] rnorm returning NA's (PR#8635),36627,Duncan Murdoch
036634.html,[Rd] Links to non-vignette documentation,36634,Duncan Murdoch
036640.html,[Rd] Links to non-vignette documentation,36640,Duncan Murdoch
036647.html,[Rd] Links to non-vignette documentation,36647,Duncan Murdoch
036648.html,[Rd] Minor Typo in image.Rd,36648,Duncan Murdoch
036650.html,[Rd] Links to non-vignette documentation,36650,Duncan Murdoch
036654.html,[Rd] Links to non-vignette documentation,36654,Duncan Murdoch
036655.html,[Rd] Links to non-vignette documentation,36655,Duncan Murdoch
036558.html,[Rd] invalid graphics state using dev.print (fwd),36558,Paul Murrell
036376.html,[Rd] [R] readline detection problems,36376,Benjamin Otto
036466.html,[Rd] [R] readline detection problems,36466,Benjamin Otto
036357.html,[Rd] Rd files with unknown sections,36357,Herve Pages
036359.html,[Rd] Rd files with unknown sections,36359,Herve Pages
036614.html,[Rd] Problem during &quot;make&quot; with the devel version R-2.3.0 under Sun	OS,36614,Simon Penel
036644.html,[Rd] Problem during &quot;make&quot; with the devel version R-2.3.0 under Sun OS,36644,Simon Penel
036401.html,[Rd] a generic 'attach'?,36401,Roger Peng
036462.html,[Rd] corruption of data with serialize(ascii=TRUE),36462,Roger D. Peng
036467.html,[Rd] corruption of data with serialize(ascii=TRUE),36467,Roger D. Peng
036612.html,[Rd] Minor typo in optim.Rd (in details section),36612,"Pfaff, Bernhard Dr."
036607.html,[Rd] Spurious output white line in R script (PR#8631),36607,Fran&#231;ois Pinard
036623.html,[Rd] Tiny documentation error for ?options (PR#8633),36623,Fran&#231;ois Pinard
036637.html,[Rd] Spurious output white line in R script (PR#8631),36637,Fran&#231;ois Pinard
036638.html,[Rd] Spurious output white line in R script (PR#8631),36638,Fran&#231;ois Pinard
036442.html,[Rd] R 2.2.1 installation trouble on SGI/Sun (PR#8575),36442,Brian D Ripley
036346.html,[Rd] The install.R and R_PROFILE.R files,36346,Prof Brian Ripley
036353.html,[Rd] Cutting up a k-D space (no subject),36353,Prof Brian Ripley
036358.html,[Rd] Rd files with unknown sections,36358,Prof Brian Ripley
036363.html,[Rd] The install.R and R_PROFILE.R files,36363,Prof Brian Ripley
036364.html,[Rd] [R] readline detection problems,36364,Prof Brian Ripley
036371.html,[Rd] Interfacing C-code (gets and printf) under WINDOWS (Visual C++),36371,Prof Brian Ripley
036373.html,"[Rd] SaveImage, LazyLoad,	S4 and all that {was &quot;install.R ... files&quot;}",36373,Prof Brian Ripley
036378.html,[Rd] [R] readline detection problems,36378,Prof Brian Ripley
036397.html,[Rd] Using the lazy data mechanism,36397,Prof Brian Ripley
036400.html,[Rd] a generic 'attach'?,36400,Prof Brian Ripley
036402.html,"[Rd] SaveImage, LazyLoad, S4 and all that {was &quot;install.R ... files&quot;}",36402,Prof Brian Ripley
036403.html,[Rd] The install.R and R_PROFILE.R files,36403,Prof Brian Ripley
036410.html,[Rd] pbinom with size argument 0 (PR#8560),36410,Prof Brian Ripley
036419.html,[Rd] match gets confused by S4 objects,36419,Prof Brian Ripley
036422.html,"[Rd] Problems in d-p-q-r functions (was PR#8528, but unrelated)",36422,Prof Brian Ripley
036434.html,[Rd] Improve error message for bad NAMESPACE file?,36434,Prof Brian Ripley
036448.html,[Rd] R 2.2.1 installation trouble on SGI/Sun (PR#8575),36448,Prof Brian Ripley
036457.html,[Rd] Using .onUnload() to unload compiled code,36457,Prof Brian Ripley
036458.html,[Rd] How to change names when importing with a NAMESPACE (was: NAMESPACE Q: does import as exist?),36458,Prof Brian Ripley
036459.html,[Rd] Rf_protect in Rinternals.h,36459,Prof Brian Ripley
036463.html,[Rd] corruption of data with serialize(ascii=TRUE),36463,Prof Brian Ripley
036480.html,[Rd] ATLAS threaded 64 bit Opteron build for R: need -fPIC,36480,Prof Brian Ripley
036482.html,[Rd] R CMD build: &quot;Subdirectory 'R' contains invalid file names&quot;,36482,Prof Brian Ripley
036484.html,[Rd] Accuracy of dnorm (PR#8586),36484,Prof Brian Ripley
036505.html,[Rd] MinGW and the ld bug,36505,Prof Brian Ripley
